claim_id,incident_id,claim_text,claim_type,scope,source_ids,edition_ids,explicit_or_inferred,transmission_family,SP,II,MI,CO,IN,VS,CF,GR,AR,PL,RR,EC,weighted_score,confidence_class,modifiers,narrative_permission,status,decision_log_ref
CLM-007-011,INC-007,"Poison was concentrated in the foreleg because it was reported to be Muhammad's preferred part",D,expansion,"SRC-SIR-ISH;SRC-MAG-ZUHRI",PENDING,explicit,sirah-maghazi,7.5,6.0,7.5,6.5,5.0,7.0,9.0,6.5,8.0,10,6.5,7.0,70.2,H3,provisional,NP-3,provisional,DEC-2026-002
CLM-007-012,INC-007,"The poisoning was motivated specifically by revenge for named relatives killed at Khaybar",M,interpretation,"SRC-LATER",PENDING,inferred,later-expansion,6.5,5.0,6.0,4.0,4.0,5.5,7.0,5.5,6.5,9.0,5.0,5.0,55.6,H5,provisional,NP-4,provisional,DEC-2026-002
CLM-003-001,INC-003,"Quraysh plotted against Muhammad and killing him was one explicit option",I,core,"SRC-QUR-001;SRC-TAF-TAB",PENDING,explicit,multiple,10,10,10,9,9,10,10,10,10,10,10,9,97.3,H1,provisional,NP-1,provisional,DEC-2026-005
CLM-003-002,INC-003,"The plot also included restraint/detention and expulsion as alternatives",E,core,"SRC-QUR-001;SRC-TAF-TAB",PENDING,explicit,multiple,10,10,10,9,9,10,10,10,10,10,10,9,97.3,H1,provisional,NP-1,provisional,DEC-2026-005
CLM-003-003,INC-003,"The plot belonged to the Meccan period immediately before Muhammad's departure",T,core,"SRC-QUR-001;SRC-TAF-TAB;SRC-MAG-URW;SRC-SIR-HIS",PENDING,inferred,multiple,9,8,9,9,8,9,10,9,9,10,9,8,88.6,H2,T?,NP-1,provisional,DEC-2026-005
CLM-003-004,INC-003,"A decisive council concerning Muhammad met at Dar al-Nadwah",L,detail,"SRC-SIR-HIS;SRC-TAF-TAB;SRC-HAD-ARZ",PENDING,explicit,multiple,8,6.5,8,7,6,8,9,7,8,10,7,7,75.0,H3,provisional,NP-2,provisional,DEC-2026-005
CLM-003-005,INC-003,"Abu Jahl proposed a joint multi-clan plan to kill Muhammad",A,detail,"SRC-SIR-HIS;SRC-TAF-TAB;SRC-HAD-ARZ",PENDING,explicit,multiple,8,6.5,8,7.5,6.5,8,9,7,8,10,7,7,76.2,H3,provisional,NP-2,provisional,DEC-2026-005
CLM-003-006,INC-003,"The multi-clan rationale was to distribute blood liability so one clan could not be singled out",M,detail,"SRC-SIR-HIS;SRC-TAF-TAB",PENDING,explicit,IbnIshaq-family,8,6.5,8,7,6,8,9,7,8,10,7,7,75.0,H3,provisional,NP-2,provisional,DEC-2026-005
CLM-003-007,INC-003,"An elder from Najd identified in the tradition with Iblis participated in the council",S,expansion,"SRC-SIR-HIS;SRC-TAF-TAB;SRC-HAD-ARZ",PENDING,explicit,multiple,7,5.5,7,5,4,7,6,5,5,8,5,5,58.0,H5,theological-detail,NP-4,provisional,DEC-2026-005
CLM-003-008,INC-003,"Muhammad was warned not to sleep in his usual place and was permitted to depart",S,detail,"SRC-SIR-HIS;SRC-TAF-TAB;SRC-HAD-ARZ",PENDING,explicit,multiple,7.5,6,7,6.5,5.5,7,8,6.5,7,9,6.5,6,68.0,H4,provisional,NP-3,provisional,DEC-2026-005
CLM-003-009,INC-003,"Ali slept in Muhammad's usual sleeping place on the night of departure",A,detail,"SRC-HAD-ARZ;SRC-MAG-URW;SRC-AHM",PENDING,explicit,multiple,8,6.5,8,7.5,6.5,8,9,7,8,10,7,7.5,76.3,H3,provisional,NP-2,provisional,DEC-2026-005
CLM-003-010,INC-003,"Hostile watchers remained at Muhammad's sleeping place expecting to seize or kill him",A,detail,"SRC-HAD-ARZ;SRC-MAG-URW;SRC-AHM",PENDING,explicit,multiple,8,6,8,7.5,6.5,8,9,7,8,10,7,7.5,75.7,H3,attempt-stage,NP-2,provisional,DEC-2026-005
CLM-003-011,INC-003,"Muhammad escaped the hostile search and Quraysh pursued him toward the cave",A,detail,"SRC-HAD-ARZ;SRC-MAG-URW",PENDING,explicit,multiple,8.5,7,8.5,8,7,8.5,10,8,8.5,10,8,8,82.0,H2,provisional,NP-2,provisional,DEC-2026-005
CLM-003-012,INC-003,"A spider web at the cave caused pursuers to turn away",D,expansion,"SRC-HAD-ARZ;SRC-AHM",PENDING,explicit,Miqsam-family,7,4.5,7,4.5,3.5,6,8,6,6,9,5,5,57.8,H6,weak-isnad,NP-4,provisional,DEC-2026-005
CLM-003-013,INC-003,"The exact speeches preserved for participants at Dar al-Nadwah reproduce their historical wording",Q,expansion,"SRC-SIR-HIS;SRC-TAF-TAB",PENDING,inferred,IbnIshaq-family,7,5,6.5,4.5,3.5,5,8,5,5,9,4.5,4.5,55.7,H6,Q?,NP-4,provisional,DEC-2026-005
