source_id,edition_id,author,work,source_type,language,approx_date,editor,publisher,year,volume_info,local_file,external_reference,notes,status
SRC-HAD-BUK,SRC-HAD-BUK-E03,"Muḥammad b. Ismāʿīl al-Bukhārī","Ṣaḥīḥ al-Bukhārī, vol. 9","hadith; historical print witness","Arabic","3rd/9th c.","historical Būlāq/Sulṭāniyya-family printing","al-Maṭbaʿah al-Kubrā al-Amīriyyah, Būlāq, Egypt","1312 AH","vol. 9 only; PDF metadata covers hadith 6861–7563","","user-uploaded scan verified","Historical Būlāq volume; title page verified directly. PDF SHA-256 297ab333c77172757c19590df2a46b020c545dc9c02bd7ae120b1c75311b345b. Valuable textual-control witness; not Musnad Aḥmad.","EDITION-VERIFIED-USER-COPY"
SRC-HAD-ABD,SRC-HAD-ABD-E02,"Abū Dāwūd al-Sijistānī","Sunan Abī Dāwūd","hadith","Arabic","3rd/9th c.","Muḥammad Muḥyī al-Dīn ʿAbd al-Ḥamīd","Dār al-Kutub al-ʿIlmiyyah, Beirut","1416 AH / 1996","vol. 1 only; hadith 1–1720; 517 PDF pages","","user-uploaded scan verified","First edition title/copyright pages verified. SHA-256 00ac13151961d61198dcbe86086257fffe27ac5801354a4c95ea7d9c9910a4a1. Useful secondary witness; does not contain hadith 4510–4512 and does not replace E01.","EDITION-VERIFIED-VOL1"
SRC-HIS-BAL-ANS,SRC-HIS-BAL-ANS-E01,"Aḥmad b. Yaḥyā al-Balādhurī","Ansāb al-Ashrāf, vol. 1","genealogy/chronicle/sirah","Arabic","3rd/9th c.","Muḥammad Ḥamīd Allāh","Dār al-Maʿārif / Maʿhad al-Makhṭūṭāt","1959","vol. 1; prophetic-biography material","","https://waqfeya.com/books/%D8%A3%D9%86%D8%B3%D8%A7%D8%A8-%D8%A7%D9%84%D8%A3%D8%B4%D8%B1%D8%A7%D9%81--%D8%AC-1--%D8%B7-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B1%D9%81-c09017cfa3a842f08a2471085f019183","Online scan and bibliographic metadata located; high-value for prophetic-life material.","ONLINE-COPY-LOCATED"
SRC-HIS-BAL-ANS,SRC-HIS-BAL-ANS-E02,"Aḥmad b. Yaḥyā al-Balādhurī","Jumal min Ansāb al-Ashrāf","genealogy/chronicle","Arabic","3rd/9th c.","Suhayl Zakkār; Riyāḍ Ziriklī","Dār al-Fikr","1417 AH / 1997","13 vols.","","https://waqfeya.net/books/%D8%AC%D9%85%D9%84-%D9%85%D9%86-%D8%A3%D9%86%D8%B3%D8%A7%D8%A8-%D8%A7%D9%84%D8%A3%D8%B4%D8%B1%D8%A7%D9%81--%D8%AA-%D8%B2%D9%83%D8%A7%D8%B1-df7420b6229a49ab935bc8a6711955aa","Complete multi-volume online scan located; vol. 1 is sīrah and vol. 2 includes shamāʾil/early ʿAlī material.","ONLINE-COPY-LOCATED"
SRC-HIS-BAL-FUT,SRC-HIS-BAL-FUT-E01,"Aḥmad b. Yaḥyā al-Balādhurī","Futūḥ al-Buldān","chronicle","Arabic","3rd/9th c.","ʿAbd Allāh Anīs al-Ṭabbāʿ","","n.d.","1 vol.; 772 pages","","https://www.waqfeya.net/books/%D9%81%D8%AA%D9%88%D8%AD-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D8%A7%D9%86--%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D8%A7%D8%B9-6be3b5b33c1a423a978ae84e8e9bb824","Online scan located; useful for Khaybar, Banū al-Naḍīr, Banū Qurayẓah, Fadak and related context.","ONLINE-COPY-LOCATED"
SRC-SIR-BAY,SRC-SIR-BAY-E01,"Aḥmad b. al-Ḥusayn al-Bayhaqī","Dalāʾil al-Nubuwwah","dalail/sirah/hadith","Arabic","5th/11th c.","ʿAbd al-Muʿṭī Qalʿajī","Dār al-Kutub al-ʿIlmiyyah; Dār al-Rayyān lil-Turāth","1408 AH / 1988","7 vols.","","https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-313%D9%83%D8%AA%D8%A7%D8%A8-220-%D8%AF%D9%84%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%87-%D8%A7%D9%84%D8%A8%D9%8A%D9%87%D9%82%D9%8A-%D8%AA%D8%AD%D9%82%D9%8A%D9%82-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D9%85%D8%B9%D8%B7%D9%8A-%D8%A7%D9%85%D9%8A%D9%86-%D9%82%D9%84%D8%B9%D8%AC%D9%8A-pdf","Noor reports a 3596-page PDF sourced from archive.org; edition metadata independently matches Islamport. Title-page verification still required before publication lock.","ONLINE-COPY-LOCATED"
SRC-HAD-TIR,SRC-HAD-TIR-E01,"Muḥammad b. ʿĪsā al-Tirmidhī","al-Jāmiʿ al-Kabīr / Sunan al-Tirmidhī","hadith","Arabic","3rd/9th c.","Bashshār ʿAwwād Maʿrūf","Dār al-Gharb al-Islāmī","1996","6 vols.; 3956 hadith numbering","","https://waqfeya.net/books/%D8%B3%D9%86%D9%86-%D8%A7%D9%84%D8%AA%D8%B1%D9%85%D8%B0%D9%8A-%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9-%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1-%D8%AA-%D9%85%D8%B9%D8%B1%D9%88%D9%81-b46449c49646479c944f598bf5112113","Complete online scan located with volume-by-volume hadith ranges.","ONLINE-COPY-LOCATED"
SRC-HAD-NAS,SRC-HAD-NAS-E01,"Aḥmad b. Shuʿayb al-Nasāʾī","Sunan al-Nasāʾī with al-Suyūṭī and al-Sindī","hadith","Arabic","3rd/9th c.","ʿAbd al-Fattāḥ Abū Ghuddah","Maktab al-Maṭbūʿāt al-Islāmiyyah, Aleppo","1414 AH","9 vols.; 4th ed.","","https://waqfeya.net/books/%D8%B3%D9%86%D9%86-%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A6%D9%8A-%D8%A8%D8%B4%D8%B1%D8%AD-%D8%A7%D9%84%D8%AD%D8%A7%D9%81%D8%B8-%D8%AC%D9%84%D8%A7%D9%84-%D8%A7%D9%84%D8%AF%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D9%8A%D9%88%D8%B7%D9%8A-%D9%88%D8%AD%D8%A7%D8%B4%D9%8A%D8%A9-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D9%85-%D8%A7%D9%84%D8%B3%D9%86%D8%AF%D9%8A-%D8%AA%D8%B1%D9%82%D9%8A%D9%85-%D8%A3%D8%A8%D9%88-%D8%BA%D8%AF%D8%A9-0db0e7f6c78b437bba758ec97425a394","Complete online scan located; source metadata gives 4th ed. and 9 volumes. CE year metadata on some sites is inconsistent, so AH year retained.","ONLINE-COPY-LOCATED"
SRC-HAD-IMJ,SRC-HAD-IMJ-E01,"Muḥammad b. Yazīd Ibn Mājah","Sunan Ibn Mājah","hadith","Arabic","3rd/9th c.","Shuʿayb al-Arnaʾūṭ; ʿĀdil Murshid; Muḥammad Kāmil Qarah Ballī; ʿAbd al-Laṭīf Ḥirz Allāh","Dār al-Risālah al-ʿĀlamiyyah","1430 AH / 2009","5 vols.","","https://waqfeya.net/books/%D8%A7%D9%84%D8%B3%D9%86%D9%86--%D8%B3%D9%86%D9%86-%D8%A7%D8%A8%D9%86-%D9%85%D8%A7%D8%AC%D9%87--%D8%AA-%D8%A7%D9%84%D8%A3%D8%B1%D9%86%D8%A7%D8%A4%D9%88%D8%B7-460db51aefc34b17a0863982b58036c0","Complete online scan located; edition metadata independently corroborated.","ONLINE-COPY-LOCATED"
SRC-HAD-MUW,SRC-HAD-MUW-E01,"Mālik b. Anas","al-Muwaṭṭaʾ","hadith/fiqh","Arabic","2nd/8th c.","Muḥammad Fuʾād ʿAbd al-Bāqī","Dār Iḥyāʾ al-Turāth al-ʿArabī / Muṣṭafā al-Bābī al-Ḥalabī","1406 AH / 1985","2 vols. in scan set","","https://waqfeya.net/books/%D9%85%D9%88%D8%B7%D8%A3-%D9%85%D8%A7%D9%84%D9%83-%D8%AA-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D9%82%D9%8A-226ec7f550e84bc092b6c4a06a3f5bc6","Complete searchable online text and scan located.","ONLINE-COPY-LOCATED"
SRC-COM-FB,SRC-COM-FB-E01,"Aḥmad b. ʿAlī Ibn Ḥajar al-ʿAsqalānī","Fatḥ al-Bārī bi-Sharḥ Ṣaḥīḥ al-Bukhārī","hadith commentary","Arabic","9th/15th c.","Muḥammad Fuʾād ʿAbd al-Bāqī; Muḥibb al-Dīn al-Khaṭīb; notes by ʿAbd al-ʿAzīz b. Bāz","al-Maṭbaʿah al-Salafiyyah, Cairo","1390 AH / 1970","13 vols.","","https://www.waqfeya.net/books/%D9%81%D8%AA%D8%AD-%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D9%8A-%D8%B4%D8%B1%D8%AD-%D8%B5%D8%AD%D9%8A%D8%AD-%D8%A7%D9%84%D8%A8%D8%AE%D8%A7%D8%B1%D9%8A-%D8%B7-%D8%A7%D9%84%D8%B3%D9%84%D9%81%D9%8A%D8%A9-%D8%B7-1-89cbc6b0946f4b45ae09df464eaef102","Complete online scan located; important for Bukhārī route variants and Ibn Ḥajar's source-critical discussion.","ONLINE-COPY-LOCATED"
SRC-COM-NAW,SRC-COM-NAW-E01,"Yaḥyā b. Sharaf al-Nawawī","al-Minhāj fī Sharḥ Ṣaḥīḥ Muslim","hadith commentary","Arabic","7th/13th c.","","al-Maṭbaʿah al-Miṣriyyah bi-l-Azhar","1347 AH / 1929","18 vols.","","https://waqfeya.net/books/%D8%A7%D9%84%D9%85%D9%86%D9%87%D8%A7%D8%AC-%D9%81%D9%8A-%D8%B4%D8%B1%D8%AD-%D8%B5%D8%AD%D9%8A%D8%AD-%D9%85%D8%B3%D9%84%D9%85-%D8%A8%D9%86-%D8%A7%D9%84%D8%AD%D8%AC%D8%A7%D8%AC-%D8%B5%D8%AD%D9%8A%D8%AD-%D9%85%D8%B3%D9%84%D9%85-%D8%A8%D8%B4%D8%B1%D8%AD-%D8%A7%D9%84%D9%86%D9%88%D9%88%D9%8A-%D8%B7-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9-b7b7a03127aa47649b524930316e1aca","Complete online scan located; useful for variant reconciliation and classical hadith interpretation.","ONLINE-COPY-LOCATED"
SRC-RIJ-MIZ,SRC-RIJ-MIZ-E01,"Yūsuf b. ʿAbd al-Raḥmān al-Mizzī","Tahdhīb al-Kamāl fī Asmāʾ al-Rijāl","rijal","Arabic","8th/14th c.","Bashshār ʿAwwād Maʿrūf","Muʾassasat al-Risālah","1403 AH / 1983","35 vols.","","https://waqfeya.net/books/%D8%AA%D9%87%D8%B0%D9%8A%D8%A8-%D8%A7%D9%84%D9%83%D9%85%D8%A7%D9%84-%D9%81%D9%8A-%D8%A3%D8%B3%D9%85%D8%A7%D8%A1-%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84-a6ec361d13804de99635a5542892fad1","Complete indexed online scan located.","ONLINE-COPY-LOCATED"
SRC-RIJ-THD,SRC-RIJ-THD-E01,"Aḥmad b. ʿAlī Ibn Ḥajar al-ʿAsqalānī","Tahdhīb al-Tahdhīb","rijal","Arabic","9th/15th c.","Ibrāhīm al-Zaybaq; ʿĀdil Murshid","Muʾassasat al-Risālah","n.d.","4 vols.","","https://waqfeya.net/books/%D8%AA%D9%87%D8%B0%D9%8A%D8%A8-%D8%A7%D9%84%D8%AA%D9%87%D8%B0%D9%8A%D8%A8-%D8%AA-%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D9%82-%D9%88%D9%85%D8%B1%D8%B4%D8%AF-%D8%B7-%D8%A7%D9%84%D8%B1%D8%B3%D8%A7%D9%84%D8%A9-14194907fb644a54a6702d681a70878e","Complete online scan located.","ONLINE-COPY-LOCATED"
SRC-RIJ-DHA,SRC-RIJ-DHA-E01,"Muḥammad b. Aḥmad al-Dhahabī","Mīzān al-Iʿtidāl fī Naqd al-Rijāl","rijal criticism","Arabic","8th/14th c.","ʿAlī Muḥammad ʿAwaḍ; ʿĀdil Aḥmad ʿAbd al-Mawjūd","Dār al-Kutub al-ʿIlmiyyah","1416 AH / 1995","8 vols. including supplement","","https://www.waqfeya.net/books/%D9%85%D9%8A%D8%B2%D8%A7%D9%86-%D8%A7%D9%84%D8%A7%D8%B9%D8%AA%D8%AF%D8%A7%D9%84-%D9%81%D9%8A-%D9%86%D9%82%D8%AF-%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84--%D8%B0%D9%8A%D9%84-%D9%85%D9%8A%D8%B2%D8%A7%D9%86-%D8%A7%D9%84%D8%A7%D8%B9%D8%AA%D8%AF%D8%A7%D9%84-fc4462e81c5a4281a2dc7e8779cb31c7","Complete online scan located.","ONLINE-COPY-LOCATED"
SRC-TAF-TAB,SRC-TAF-TAB-E01,"Muḥammad b. Jarīr al-Ṭabarī","Jāmiʿ al-Bayān ʿan Taʾwīl Āy al-Qurʾān","tafsir","Arabic","3rd-4th/9th-10th c.","Maḥmūd Muḥammad Shākir; Aḥmad Muḥammad Shākir","Dār al-Maʿārif original / Maktabat Ibn Taymiyyah facsimile","","16 printed vols. extant through Q 14:27","","Waqfeya exact scan","High-value early tafsīr with isnāds. This Shākir edition is incomplete after Q 14:27 but fully covers Q 8:30 and Q 5:67.","ONLINE-SCAN-VERIFIED"
SRC-TAF-IBH,SRC-TAF-IBH-E01,"ʿAbd al-Raḥmān b. Muḥammad Ibn Abī Ḥātim","Tafsīr al-Qurʾān al-ʿAẓīm musnadan","tafsir","Arabic","4th/10th c.","Asʿad Muḥammad al-Ṭayyib","Maktabat Nizār Muṣṭafā al-Bāz, Riyadh","1417 AH / 1997","10 vols.; 3480 pp.","","Waqfeya complete scan","Early isnād-heavy tafsīr; complete scan located and fully indexed.","ONLINE-SCAN-VERIFIED"
SRC-ASB-WAH,SRC-ASB-WAH-E01,"ʿAlī b. Aḥmad al-Wāḥidī","Asbāb al-Nuzūl","asbab al-nuzul","Arabic","5th/11th c.","ʿIṣām b. ʿAbd al-Muḥsin al-Ḥumaydān","Dār al-Iṣlāḥ, Dammam","1412 AH / 1992","1 vol.; 488 pp.","","Waqfeya scan","Useful for tracking later verse-event identifications; never treated as independent corroboration merely because it is a separate genre.","ONLINE-SCAN-VERIFIED"
SRC-BIO-SAD,SRC-BIO-SAD-E01T,"Muḥammad b. Saʿd","al-Ṭabaqāt al-Kubrā","tabaqat","Arabic","3rd/9th c.","Muḥammad ʿAbd al-Qādir ʿAṭā","Dār al-Kutub al-ʿIlmiyyah","1410 AH / 1990","8 vols.","","Islamport/Shamela text aligned to printed edition","Text version explicitly states pagination/numbering matches the printed 1990 edition. Exact scan still desired; text is sufficient for locating passages pending scan verification.","PRINT-ALIGNED-TEXT-LOCATED"
SRC-MAG-WAQ,SRC-MAG-WAQ-E02,"Muḥammad b. ʿUmar al-Wāqidī","Kitāb al-Maghāzī","maghazi","Arabic","2nd-3rd/8th-9th c.","Marsden Jones","Dār al-Aʿlamī, Beirut","1409 AH / 1989","3 vols.","","Islamport/Shamela text aligned to printed edition","Later reprint of the Marsden Jones text; online text states numbering matches the printed edition. Use as working locator while preserving 1966 Oxford E01 as preferred historical edition.","PRINT-ALIGNED-TEXT-LOCATED"
SRC-MOD-MOT-01,SRC-MOD-MOT-01,"Harald Motzki","The Murder of Ibn Abī l-Ḥuqayq: On the Origin and Reliability of Some Maghāzī-Reports","modern scholarship","English","2000","Harald Motzki","Brill","2000","pp. 170–239 in The Biography of Muḥammad: The Issue of the Sources","","https://doi.org/10.1163/9789004452909_010","Incident-level source-critical study directly relevant to testing maghāzī transmission reliability.","ACADEMIC-ACCESS-LOCATED"
SRC-MOD-GOR-01,SRC-MOD-GOR-01,"Andreas Görke; Gregor Schoeler","Reconstructing the Earliest sīra Texts: the Hijra in the Corpus of ʿUrwa b. al-Zubayr","modern scholarship","English","2005","","Der Islam 82/2","2005","pp. 209–220","","https://www.andreas-goerke.de/goerke_schoeler_hijra.pdf","Author-hosted full text located. Core methodological source for reconstructing early sīrah strata from transmission families.","OPEN-FULLTEXT-LOCATED"
SRC-MOD-SCH-01,SRC-MOD-SCH-01,"Gregor Schoeler","The Biography of Muhammad: Nature and Authenticity","modern scholarship","English","2011","trans. Uwe Vagelpohl","Routledge","2011","216 pp.","","https://www.routledge.com/The-Biography-of-Muhammad-Nature-and-Authenticity/Schoeler/p/book/9781138788862","Methodological study of oral/written transmission and source reconstruction; publisher record verified.","BIBLIOGRAPHIC-ACCESS-LOCATED"
SRC-MOD-MOT-02,SRC-MOD-MOT-02,"Harald Motzki","The Origins of Islamic Jurisprudence: Meccan Fiqh before the Classical Schools","modern scholarship","English","2002","trans. Marion H. Katz","Brill","2002","326 pp.","","https://doi.org/10.1163/9789004491533","Foundational isnād-cum-matn/dating methodology; not biography-specific but essential for transmission analysis.","ACADEMIC-ACCESS-LOCATED"
SRC-MOD-ANT-01,SRC-MOD-ANT-01,"Sean W. Anthony","Muhammad and the Empires of Faith: The Making of the Prophet of Islam","modern scholarship","English","2020","","University of California Press","2020","304 pp.","","https://www.ucpress.edu/books/muhammad-and-the-empires-of-faith/epub-pdf","Balanced critical synthesis of Muslim, non-Muslim, and documentary evidence; central modern framework source.","PUBLISHER-ACCESS-LOCATED"
SRC-MOD-DON-01,SRC-MOD-DON-01,"Fred M. Donner","Muhammad and the Believers: At the Origins of Islam","modern scholarship","English","2010","","Harvard University Press / Belknap","2010","304 pp.","","https://www.jstor.org/stable/j.ctvjf9w3h","Revisionary reconstruction of early community identity; useful as a competing macro-historical model.","ACADEMIC-ACCESS-LOCATED"
SRC-MOD-RUB-01,SRC-MOD-RUB-01,"Uri Rubin","The Eye of the Beholder: The Life of Muḥammad as Viewed by the Early Muslims","modern scholarship","English","1995","","Darwin Press","1995","","","https://www.urirubin.com/assets/docs/THE_EYE_OF_THE_BEHOLDER_-_SEARCHABLE.32644548.pdf","Author-hosted searchable full text; literary/textual analysis of sīrah traditions.","OPEN-FULLTEXT-LOCATED"
SRC-MOD-BRO-01,SRC-MOD-BRO-01,"Jonathan A. C. Brown","Hadith: Muhammad’s Legacy in the Medieval and Modern World","modern scholarship","English","2017","","Oneworld Publications","2017","2nd ed.; 368 pp.","","https://www.simonandschuster.com/books/Hadith/Jonathan-A-C-Brown/The-Foundations-of-Islam/9781786073075","Modern overview of hadith collection, criticism, and interpretive debates; useful bridge to classical hadith methodology.","PUBLISHER-ACCESS-LOCATED"
SRC-MOD-HOY-01,SRC-MOD-HOY-01,"Robert G. Hoyland","Seeing Islam as Others Saw It","modern scholarship / source anthology","English","1997","","Darwin Press","1997","872 pp.","","https://books.google.com/books/about/Seeing_Islam_as_Others_Saw_it.html?id=ocv-SQAACAAJ","Survey and evaluation of seventh/eighth-century non-Muslim witnesses; used for external contextual control, not as automatic trump evidence.","BIBLIOGRAPHIC-ACCESS-LOCATED"
SRC-MOD-CRO-01,SRC-MOD-CRO-01,"Patricia Crone","Meccan Trade and the Rise of Islam","modern scholarship","English","1987","","Basil Blackwell / Princeton University Press","1987","300 pp.","","https://books.google.com/books/about/Meccan_Trade_and_the_Rise_of_Islam.html?id=EYiGAAAAIAAJ","Highly skeptical source critique and socioeconomic reconstruction; retained as a challenge source, not assumed correct.","BIBLIOGRAPHIC-ACCESS-LOCATED"
SRC-MOD-SHO-01,SRC-MOD-SHO-01,"Stephen J. Shoemaker","The Death of a Prophet: The End of Muhammad’s Life and the Beginnings of Islam","modern scholarship","English","2011","","University of Pennsylvania Press","2011","416 pp.","","https://www.pennpress.org/9780812223422/the-death-of-a-prophet/","Strongly revisionist treatment of Muhammad’s death chronology and non-Muslim sources; relevant to Khaybar/death claims as an adversarial comparator.","PUBLISHER-ACCESS-LOCATED"
SRC-QUR-001,SRC-QUR-001,"","Qurʾān","scripture / primary textual witness","Arabic","7th c.","","","","sūrah:āyah locator","","","Primary textual witness. Use stable verse locator rather than page citation unless a textual/reading issue requires edition-level discussion.","LOCKED"
SRC-HAD-ARZ,SRC-HAD-ARZ-E01,"ʿAbd al-Razzāq al-Ṣanʿānī","al-Muṣannaf","hadith / athar","Arabic","3rd/9th c.","Ḥabīb al-Raḥmān al-Aʿẓamī","al-Majlis al-ʿIlmī / al-Maktab al-Islāmī","1403 AH","11 vols.; 2nd ed.","","print-aligned Islamport/Shamela text + online citations","Working edition for report 9743 and related early tafsīr/maghāzī material. Exact scan still desirable.","PRINT-ALIGNED-TEXT-LOCATED"
SRC-MAG-URW,SRC-MAG-URW-E01,"ʿUrwa b. al-Zubayr","Hijrah traditions / letter corpus as preserved by later transmitters","early maghāzī corpus","Arabic","1st/7th-early 2nd/8th c.","","preserved fragmentarily in later works","","multiple recensions","","modern reconstruction + later-source witnesses","Not a surviving independent book edition. Stable source ID represents the reconstructed transmission corpus, with each surviving witness cited separately.","RECONSTRUCTED-CORPUS"
